time_step,latency_sensitivity,CPU.S1,CPU.S2,CPU.S3,CPU.S4,GPU.S1,GPU.S2,GPU.S3
9,low,91378,0,0,0,113,0,0
10,low,106610,0,0,0,130,0,0
11,low,123134,0,0,0,147,0,0
12,low,147760,0,0,0,165,0,0
13,low,163274,0,0,0,183,0,0
14,low,179351,0,0,0,201,0,0
15,low,172947,0,0,0,219,0,0
16,low,175251,0,0,0,238,0,0
17,low,204826,0,0,0,258,0,0
18,low,260251,0,0,0,279,0,0
19,low,219765,0,0,0,302,0,0
20,low,242900,0,0,0,324,0,0
21,low,267796,0,0,0,346,0,0
22,low,294575,0,0,0,369,0,0
23,low,323366,0,0,0,395,0,0
24,low,371164,0,0,0,420,0,0
25,low,394365,0,0,0,447,0,0
26,low,418340,0,0,0,473,0,0
27,low,390987,0,0,0,502,0,0
28,low,385196,0,0,0,532,0,0
29,low,438851,0,0,0,559,0,0
30,low,544776,0,0,0,591,0,0
31,low,450349,0,0,0,623,0,0
32,low,488121,0,0,0,656,0,0
33,low,528541,0,0,0,689,0,0
34,low,571784,0,0,0,724,0,0
35,low,618037,0,0,0,763,0,0
36,low,699264,0,0,0,799,0,0
37,low,659754,18326,0,0,839,0,0
38,low,649541,29596,0,0,877,0,0
39,low,561545,36942,0,0,920,0,0
40,low,509712,45356,0,0,960,0,0
41,low,532491,61690,0,0,1004,0,0
42,low,602691,88806,0,0,1050,0,0
43,low,451130,83361,0,0,1096,0,0
44,low,439040,100980,0,0,1144,0,0
45,low,422442,120696,0,0,1197,0,0
46,low,400788,142705,0,0,1246,0,0
47,low,373518,167214,0,0,1297,0,0
48,low,356179,203707,0,0,1353,0,0
49,low,304829,228621,0,0,1269,28,0
50,low,317270,237952,0,0,1290,35,0
51,low,291250,218440,0,0,1310,42,0
52,low,282110,211588,0,0,1326,49,0
53,low,316293,237222,0,0,1346,57,0
54,low,386715,290036,0,0,1366,64,0
55,low,315095,236326,0,0,1380,72,0
56,low,336873,252655,0,0,1394,81,0
57,low,360034,270026,0,0,1407,89,0
58,low,384667,288500,0,0,1421,98,0
59,low,410864,308148,0,0,1427,108,0
60,low,459612,344709,0,0,1440,117,0
61,low,476617,357463,0,0,1445,127,0
62,low,494115,370589,0,0,1450,138,0
63,low,451873,338908,0,0,1455,148,0
64,low,436096,327075,0,0,1452,159,0
65,low,487201,365404,0,0,1456,171,0
66,low,593630,445229,0,0,1452,183,0
67,low,482105,361582,0,0,1440,195,0
68,low,513767,385325,0,0,1434,208,0
69,low,547390,410543,0,0,1421,221,0
70,low,583086,437318,0,0,1407,234,0
71,low,620980,465742,0,0,1391,248,0
72,low,692712,519534,0,0,1375,263,0
73,low,573093,501466,19626,0,1365,280,0
74,low,555532,512327,24190,0,1361,297,0
75,low,472950,461696,25524,0,1357,314,0
76,low,422772,439040,27814,0,1352,332,0
77,low,434926,483255,34518,0,1347,351,0
78,low,484629,580097,46129,0,1333,370,0
79,low,356969,464077,40669,0,1319,391,0
80,low,341616,487124,46656,0,1304,412,0
81,low,484226,511146,53140,0,1919,434,0
82,low,450376,536181,60157,0,1869,457,0
83,low,410277,562258,67742,0,1817,481,0
84,low,380620,617475,79551,0,1764,659,0
85,low,314287,628596,86277,0,1695,692,0
86,low,324331,621681,94289,0,1767,713,0
87,low,295295,541409,90517,0,1840,735,0
88,low,283773,496601,91366,0,1914,757,0
89,low,315674,526163,106415,0,2002,780,0
90,low,383076,606564,134792,0,2079,803,0
91,low,309855,464818,113509,0,2170,828,0
92,low,328936,466012,162687,0,2263,852,0
93,low,349140,698302,178955,0,2329,869,0
94,low,370548,694784,196444,0,2397,886,0
95,low,393214,688132,215234,0,2479,904,0
96,low,437068,710272,246623,0,2548,923,0
97,low,450468,675716,261618,0,1309,941,90
98,low,425535,676993,271982,0,1234,945,111
99,low,351707,597927,249402,0,1158,949,133
100,low,303750,556890,241320,0,1080,951,156
101,low,299970,599955,270277,0,984,955,179
102,low,318086,704358,330125,0,887,958,204
103,low,220255,550653,268733,0,772,960,229
104,low,194594,564337,287036,0,670,963,255
105,low,165028,577623,306495,0,551,964,282
106,low,131175,590414,327184,0,429,967,311
107,low,92704,602605,349176,0,288,968,340
108,low,51451,643326,390288,0,145,969,370
109,low,0,635777,353861,38885,0,969,402
110,low,0,627173,354493,47926,0,969,424
111,low,0,544821,313242,50571,0,969,448
112,low,0,498506,292069,55107,0,969,472
113,low,0,526907,315214,68390,0,968,497
114,low,0,605989,370983,91393,0,968,523
115,low,0,463309,290967,80575,0,965,549
116,low,0,463440,299405,92438,0,964,577
117,low,0,461933,307960,105285,0,962,605
118,low,0,458607,316621,119186,0,958,634
119,low,0,453238,325379,134214,0,955,665
120,low,0,466848,350136,157611,0,950,696
121,low,0,443213,349203,170938,0,946,728
122,low,0,436821,342695,186811,0,949,755
123,low,0,379129,296283,179339,0,951,783
124,low,0,346592,269933,181020,0,954,811
125,low,0,366028,284237,210835,0,955,840
126,low,0,420610,325858,267058,0,958,871
127,low,0,321306,248504,224891,0,959,902
128,low,0,321139,248138,247942,0,960,934
129,low,0,319845,247115,272737,0,960,967
130,low,0,317284,245369,299390,0,960,1001
131,low,0,313329,242830,328028,0,960,1035
132,low,0,322492,250827,375865,0,960,1071
133,low,0,305933,239229,398718,0,959,1108
134,low,0,288203,244015,409299,0,958,1165
135,low,0,237562,219612,370716,0,954,1224
136,low,0,204612,208633,354409,0,950,1286
137,low,0,201544,229495,392302,0,945,1351
138,low,0,213158,275395,473704,0,938,1418
139,low,0,147221,220316,381317,0,930,1489
140,low,0,129748,231332,402854,0,923,1562
141,low,0,109768,242898,425592,0,912,1638
142,low,0,87053,255043,449597,0,900,2232
143,low,0,61368,267796,474938,0,886,2340
144,low,0,33987,294576,525579,0,872,2451
145,low,0,0,300466,539300,0,855,2567
146,low,0,0,297962,556635,0,865,2659
147,low,0,0,260504,506865,0,868,2727
148,low,0,0,240201,487121,0,878,2824
149,low,0,0,256214,541992,0,881,2896
150,low,0,0,297849,657782,0,891,3000
151,low,0,0,230592,532138,0,900,3107
152,low,0,0,234052,564953,0,911,3217
153,low,0,0,237279,599719,0,912,3299
154,low,0,0,240246,636550,0,912,3382
155,low,0,0,242915,675564,0,912,3468
156,low,0,0,256929,751026,0,912,3556
157,low,0,0,251585,774111,0,911,3647
158,low,0,0,256617,789593,0,899,3796
159,low,0,0,230955,710634,0,886,3949
160,low,0,0,219407,675102,0,871,4110
161,low,0,0,241348,742612,0,846,4234
162,low,0,0,289617,891135,0,820,4362
163,low,0,0,231695,712908,0,793,4494
164,low,0,0,243279,748553,0,763,4629
165,low,0,0,255443,785981,0,733,4767
166,low,0,0,268216,825280,0,700,4908
167,low,0,0,281626,866544,0,666,5055
168,low,0,0,309788,953198,0,631,5205
